name_id,features
R_014,방풍 막걸리은(는) 여수 금오도 방풍막걸리는 방풍 잎에서 추출한 방풍즙이 7.7% 첨가된 막걸리입니다.옛부터 풍을 예방한다고 하여 이름붙여진 방풍나물은 뛰어난 약용성분을 가지고 있어 약재로도 사용되었습니다.
R_015,"온지몬은(는) 새콤 달콤 끝판왕 제주산 레몬을 세척 후 슬라이스해 직접 담근 청을 이용, 인공적인 행을 첨가 하지 않고도 자연스러운 레몬의 맛과 향이 잘 느껴집니다. 하나같이 심심하지 않은 맛이라는 점이데 온지 시리즈를 접해보신 분들이라면 고개를 끄덕끄덕 하실겁니다"
R_016,"까망토끼은(는) 까망토끼는 용인 백옥쌀과 국내산 흑미를 사용해 파스텔블랙 컬러의 매혹적인 색을 띄며,100% 수작업으로 빚는 프리미엄 탁주입니다."
R_017,"옹기 막걸리은(는) 단맛보다는 산미가 풍부해 느린마을 막걸리와는 다른 매력을 느낄 수 있고, 인공감미료 없이 우리 쌀로만 빚어 목넘김이 더욱 부드럽고 꾸밈없는 막걸리입니다."
R_018,딸기아랑주은(는) 아랑주는 향긋한 딸기향과 딸기 본연의 달콤한 그 맛이 좋아 남녀 노소 누구나 부담없이 마시기 좋습니다.
R_019,옛날 생동동주은(는) 깨지지 않고 동동 떠있는 쌀알들이 강하지 않은 자연 탄산과 함께 부드럽게 입 안을 넘어갑니다.
R_020,짝꿍막걸리은(는) 기존 막걸리에서 즐길 수 없었던 다양하고 복잡한 맛이 매력적인 술입니다.
R_021,"에피소드은(는) 투명한 분홍 빛 하늘,끝 없이 이어진 풍요로운 들판,코끝을 자극하는 상큼한 바람이고 미지의 세계로 들어선 호랑이의 첫 번째 에피소드입니다. 은은한 꽃 향기, 다양한 부재료가 선사하는 오묘한 맛의 컴비네이션,깔끔하고 기분 좋은 피니쉬입니다."
R_022,"낙안읍성은(는) 낙안뜰에서 친환경 지역 농산물로 재배한 우리 찹쌀, 다양한 발효균이 살아있는 전통누룩 그리고 천연암반수만을 사용하여 진한 감칠 맛을 느낄 수 있습니다."
R_023,생딸기 막걸리은(는) 단맛을 내기 위하여 아스파탐 등 화학첨가물을 일체 넣지 않습니다. 햅쌀과 생딸기에서 우러난 천연의 건강한 단맛을 만끽합니다.
R_024,"너디호프은(는) 처음에는 바질의 휘몰아치는향,그리고 보태니컬한 맛, 그 되를 따르는 마지직 산미의 깔끔한 피니쉬가 조화를 이룹니다."
R_025,보스토끼은(는) 단맛보다는 경쾌한 산미와 담백한 맛 거기에 적당한 탄산이 어우러진 Alc.9%무감미료 드라이 생 막걸리입니다.
R_026,"스톰탁주은(는) 세계적인 인기 캐릭터와 오리지널 스톰트루퍼, 90년 전통의 밀양 클래식 술도가 가 협업하여 제작된 글로벌 막걸리 프로젝트입니다.
기분 좋게 달달하고 탄산이 강하지 않아 누구나 즐길 수 있는 깔끔하고 상쾌한 맛입니다."
R_027,담향 대대포 블루은(는) 전남 담양을 대표하는 지역 막걸리로서 담양군에서 재배한 친환경 유기농쌀과 토종벌꿀을 사용하여 장기저온발효공법으로 제조한 프리미엄 막걸리다. 인공감미료를 첨가하지 않고 국내산 벌꿀과 천연감미료로 넣어 은은한 막걸리의 단맛을 자아내는 술이다. 연한 볏짚단 빛깔의 가볍고 부드러운 막걸리이다. 꿀을 첨가하여 단맛을 보충하고 향미도 살렸다. 과하지 않은 탄산과 산미가 품위 있고 나긋한 맛을 선사한다
R_028,이화주(술샘)은(는) 한 숟 떠서 오물오물 머금는 독특하고 이색적인 막걸리인 이화주. 쫀득쫀득한 요거트를 연상시키는 술로 떠먹거나 물에 타서 마시는 등 기호에 따라 먹는 재미가 있다. 배꽃이 필 무렵에 빚는 술이라는 이름이 붙여진 이 이화주는 고려시대부터 전해져 내려오는 전통주로 양반가에서 마시던 귀한 술이었다. 전통쌀 누룩을 사용하여 새콤달콤 유기산과 효모의 맛이 그대로 살아있는 그 특유의 맛이 참 좋은 전통주다.
R_029,화천용화산은(는) 화천농협 정미소에서 갓 도정한 화천군100% 햅쌀로만 빚은 생쌀발효법으로 저온 장기발효로 완전발효함으로써 숙취가 적다. 10%의 도수임에도 목 넘김이 좋은 동동주로 윗술을 처음드시고 나중은 잘 흔들어 또 다른 묵직한 맛을 즐길 수 있다.
R_030,"연꽃담은술은(는) 10년의 연구와 임금누룩 향온곡으로 빚어낸 역작 연꽃을 주제로 빚은 첫 번째 꽃막걸리 시리즈 향온곡은 일반 누룩과 달리 밀, 보리, 녹두를 넣어 띄우는 누룩이다. 고문헌에는 향온곡으로 술을 빚으면 맛과 향이 탁월해 도저히 잊을 수 없으니, 세상이 어지러워지지 않도록 대중들에게 공개하지 말라는 내용이 남아있다."
R_031,"열두쌀은(는) 알코올 12%, 본격 녹진한 쌀의 질감이 있다. 향도 맛도 두배로 느껴지는 강력한 술이다. 바닐라와 쌀 젤라또 같은 느낌이 있다. 숙성시킬 수록 알콜은 강해지지만 의외로 목넘김은 더 부드럽고 안정적인 술이 된다. 달콤한 쌀의 맛으로 시작해서 끝은 쌉쌀하게 마무리된다. 강한 술인만큼 안주가 조금 자극적이어도 좋다."
R_032,"일곱쌀은(는) 알코올 7% 맑은 청량감과 함께 느껴지는 은은한 단맛, 풋사과향과 바나나, 멜론의 향이 치고 올라온다. 병입후 일주일정도 지나면 크리미한 탄산음료의 질감도 느낄 수 있다. 감미료 없이 쌀로만 낸 단맛이 깔끔한 피니쉬를 준다."
R_033,보은주은(는) 쿡피아의 대표이자 방송인인 이보은 요리연구가와 충북 무형문화재 청명주 제조기능보유자 김영섭 명인이 함께 연구 개발한 보은주’ 이름처럼 은혜에 감사하는 마음을 전하기 좋은 전통주다.
R_034,"선희주은(는) 멥쌀 죽과 소량의 누룩으로 밑술을 만들고 찹쌀로 덧술을 한 이양주로 무감미료이며, 발효, 숙성기간은 약 100일 정도 걸려서 빚었다. 죽술의 특징인 깔끔한 맛이 나며 달지 않고 드라이하며 산미가 좋다."
R_035,"도갓집 막걸리은(는) 잘 익은 곡물향과 누룩향, 약한 바닐라 향과 풋사과 향을 느낄 수 있는다. 일반적으로 생각하는 막걸리의 표본과 같은 제품으로 4가지맛 감(단맛), 산(신맛), 고(쓴맛), 삽(걸쭉한 맛)과 청량감이 어우러져 조화로운 맛을 내는 것이 특징이다."
R_036,"복순도가 슈퍼드라이은(는) 울산을 대표하는 프리미엄 전통주 브랜드 복순도가의 여섯번째 작품으로, 감미료 없이 쌀, 곡자, 정제수 세가지 재료로만 빚어냈다. 또한, 질 좋은 누룩과 쌀을 전통 방식으로 발효하여 신선한 요구르트 같은 살구빛을 띄며, 입자가 매우 고와 탁주 특유의 텁텁함 없이 청량함이 뛰어나다."
R_037,설레 7도은(는) 971년 할아버지부터 이어온 산청양조장의 3대전승자가 또다른 양조장 몬스터빌리지에서 전통주입문자들과 술을 잘못하시는 사람들을 위해 개발한 무감미료 7%막걸리이다.
R_038,"소풍은(는) 지리산 산청의 몬스터빌리지에서 2번째로 선보이는 톡소다 막걸리의 소풍.  탄산을 주입하지않고 발효과정중에 생기는 탄산을 그대로 병입한 천연탄산 막걸리, 톡톡쏘는 소다맛이 나는 막걸리이다."
R_039,"청혼 화이트은(는) 제이앤제이 브루어리에서 만드는 청혼 시리즈 4종중 기본 탁주이다. 시원한 꽃향, 과일향이 엺게 느껴지며, 살짝 가미된 산미, 달지 않은 드라이함, 가벼운 질감, 알콜 13% 의 쌉싸름함에 자연탄산의 청량한 맛까지 느낄 수 있는 가볍고 깔끔한 막걸리이다."
R_040,"벗이랑 조릿대 산죽은(는) 대전시와 인근지역에서 자연자생 및 청정재배를 통해 채취한 강황, 버찌 등 건강에 이로운 자연식물로 세 번 빚은 삼양 생탁주이다. 색, 향, 미 세가지가 조화롭게 어우러진 프리미엄 삼양주로, 저온 숙성을 거쳐 목넘김이 부드럽고 바디감이 깊다. 청량하고 드라이하다."
R_041,"벗이랑 버찌 홍국은(는) 대전시와 인근지역에서 자연자생 및 청정재배를 통해 채취한 강황, 버찌 등 건강에 이로운 자연식물로 세 번 빚은 삼양 생탁주이다. 색, 향, 미 세가지가 조화롭게 어우러진 프리미엄 삼양주로, 저온 숙성을 거쳐 목넘김이 부드럽고 바디감이 깊다. 벚꽃이 지고난 후 안토시아닌이 다량 함유된 버찌열매를 채취하여 홍국과 함께 발효시킨 제품으로 감미로우면서도 알싸한 맛의 조화가 좋다."
R_042,"벗이랑 강황은(는) 대전시와 인근지역에서 자연자생 및 청정재배를 통해 채취한 강황, 버찌 등 건강에 이로운 자연식물로 세 번 빚은 삼양 생탁주이다. 색, 향, 미 세가지가 조화롭게 어우러진 프리미엄 삼양주로, 저온 숙성을 거쳐 목넘김이 부드럽고 바디감이 깊은 생탁주 이다."
R_043,"온섶은(는) 더운 장작이 쌓인 모습 이라는 뜻으로, 추운 날 마시면 뜨거우면서 포근한 느낌을 주는 술, 반가우면서도 낯선 술을 모토로 설계되었다. 모주나 수정과를 연상하게 하는 부드럽고 진한 계피, 감초, 생강에 한국술에는 생소한 파인애플과 넛맥, 팔각회향을 얹어 전에 없는 맛을 완성하였다. 따스한 온도로 한모금 마시면, 먼 겨울나라의 오두막에서 벽난로를 쬐는 듯한 여행의 정취를 느낄 수 있다."
R_044,"단홍은(는) 5가지 붉은 부재료를 담은 단홍은 기존의 탁주 문법을 해체하는 과감한 시도를 통해 탄생한 포스트모던 탁주이다. 시선을 끄는 진한 루비색, 화려한 히비스커스와 화자오의 향, 새콤달콤한 맛이 특징으로, 탁주 장르의 고정관념을 뛰어넘기 위해 설계되었다. 술의 맑은 부분을 맛볼 수 있게 제작되어 약주와 탁주 두 가지 맛을 동시에 즐길 수 있다."
R_045,"완도유자막걸리은(는) 유자 재배 적지로 꼽히는 고금도에서 생산한 유자즙을 활용한 탁주이다, 고금주조장에서 생산되는 모든 술은 이 완도쌀을 사용하고 있다. 지역민들과 향우민들이 사랑하는 완도유자막걸리는 2대째 이어오고 있는 고금주조장의 대표 상품이다. 짜릿한 유자의 맛과 상큼한 향이 잘 어우러진 독특한 생막걸리로 유자의 맛이 너무 강하지 않은 게 특징이다. 유자의 강한 맛에 호불호가 갈리기 때문인데 유자즙을 가미한 후 수많은 테이스팅결과 현재맛으로 결정하였다. 또한, 인공감미료를 최대한 줄여 은은한 단맛을 낸다."
R_046,"감천막걸리은(는) 균형감이 무척 돋보이는 제품. 우유와 같은 매끈한 질감에 고소한 청량감을 가진 막걸리로, 시원하게 마시면 더욱 그 진가가 드러난다. 경쾌한 자연 탄산과 달콤하고 부드러운 맛으로 다양한 상황과 잘 어울리는 전통주다."
R_047,"패치배치 만다린은(는) 패치배치 아일랜드는 밭 한 조각(패치)가 술 한 독(배치)가 된다는 의미를 담아 제주도의 비상품 농산물을 활용하여 술을 빚는 양조장이다. 패치배치 만다린’은 감귤 즙과 감귤껍질, 제주도 토종 유자인 당유자 껍질이 들어가는 탁주이다. 인공 감미료를 넣지 않고 이양주 기법으로 빚은 연 노란빛의 막걸리다."
R_048,"솜솜 막걸리은(는) 뭉게 구름을 머금은 듯한 부드러움과 적당한 단맛, 산미의 조화가 특징이다. 감미료를 일체 넣지 않고 오직 쌀, 물, 전통누룩만으로 빚은 프리미엄 순곡주다."
R_049,"고타다이브은(는) 한국의 술 막걸리, 이 시대의 젊은 술로 다시 태어났다. 강원도의 햅쌀을 사용해 부드럽지만 상쾌한 6도, 자연스럽고 기분 좋게 지금을 즐기는 술이다."
R_050,라봉은(는) 막걸리에 나주산 한라봉이 더해 상큼함을 가득 담았다. 잔에 딸르면 시트러스 향이 퍼지며 청량감을 선사한다. 적당한 산미가 깔끔한 마무리를 더해주고 마치 음료처럼 계속 마시게 되는 맛으로 젊은 감성에 맞춘 막걸리다.
R_051,참주가 솔 막걸리은(는) 국내산 전통재료와 솔잎을 직접 손질하여 발효시킨 한국형 쌀와인으로 은은한 솔향기와 기분좋은 산뜻함이 더해졌다. 솔잎에  함유된 성분이 발효를 효과적으로 제어하여 신선한 맛을 살려 맑은 윗부분만 마시면 화이트와인 같은 산뜻함이 느껴진다.
R_052,"얼떨결에 퍼플은(는) 국내산 햅쌀, 영월산 켐벨포도, 영월산 유기농찰보리쌀로 만들어지며 저온발효로 12일 이상 발효, 숙성과정을 거치며 이양주로 제작된다. 바디감은 민트컬러에 비하여 조금 묵직하며, 상쾌하고 새콤달콤한 성상이 특징이며 스파클링 와인의 느낌도 느끼실 수 있다."
R_053,김천 배금도가은(는) 이름에 비단처럼 아름다운 술 빛깔이라는 뜻이 담겨있다. 뽀얗고 보드라운 막걸리 빛깔이 진정 비단과 같다. 감미료를 넣지 않아 찹쌀의 자연스러운 단맛이 강하지 않고 은근하게 다가온다. 누룩향이 그윽하고 새콤해 마치 꽃향기인 듯 과실향인 듯 다채로운 향기가 높은 도수 알코올 향과 잘 어우러진다.
R_054,사화정미소은(는) 인공감미료 및 어떠한 당도 들어가지 않고 쌀 본연의 맛과 풍미에 집중한 무첨가 프리미엄 살균 막걸리다. 일반 막걸리보다 국내산 쌀 함량을 2배가량 높여 곡물에서 기인하는 자연스러운 단맛을 극대화했으며 은은한 과일향과 중후한 바디감이 특징이다.
R_055,"송도막걸리은(는) 레몬과 고구마가 첨가된 새콤달콤한 스파클링 막걸리다. 막걸리가 일반적으로 가지는 누룩향을 덜어내고 은은하게 퍼지는 레몬향이기분 좋은 산뜻함이 담겨있다. 누구나 편히 마실 수 있는 달콤함에 계속 마시고 싶은 새콤함까지 더해져, 마치 막걸리에 레몬즙과 탄산수를 더해 칵테일로 즐기는 듯 재미있는 경험을 선사하는 막걸리다."
R_056,서울골드은(는) 까다롭게 선별한 누룩에 다섯 번 빚어 100일 저온 숙성해서 만들며 연간 연간 생산량은 대략 1200병 정도로 희소성이 더해졌다.
R_057,"소백산생막걸리은(는) 청와대 만찬주로 잘 알려져 있다. 쌀과 밀가루를 모두 사용한 옛날식 막걸리로 드라이하지 않고 단맛이 감돌며, 걸쭉하지 않고 가볍게 청량하게 계속 들이킬 수 있는 정겨운 막걸리다."
R_058,냥이탁주 화이트은(는) 세 번 빚어서 만든 삼양주로 단맛과 신맛이 잘 어우러져 있고 부드러운 목넘김이 일품으로 프리미엄 막걸리의 품격을 느끼실 수 있다.
R_059,"우주멜론미 스파클링 막걸리은(는) 막걸리와 멜론, 우주멜론미 스파클링 막걸리는 곡성의 자랑이다. 당도 높은 머스크멜론을 넣은 진짜 멜론 막걸리다. 멜론뿐만 아니라 찹쌀, 신동진 쌀 등 국내산 재료를 사용하였다."
R_060,대대포9은(는) 요플레의 상큼하고 달큼한 향기가 느껴지고 달달한 바나나 향이 느껴지는 탁주다. 한 모금 마시면 은근한 바디감과 깔끔하고 고소한 맛이 전체적인 맛의 밸런스가 좋다. 끝 맛은 살짝 단맛이 느껴지면서 깔끔하게 마무리되어 가볍게 즐길 수 있다.
R_061,청량주은(는) 고두밥에 종국을 뿌려 입국을 만드는 과정을 포함하여 대부분 전통방식으로 술을 직접 빚고 있다.
R_062,쑥크레은(는) 향기로운 쑥 향과 단맛의 밸런스가 좋은 탁주다. 쑥 특유의 향긋함이 코끝에 퍼지며 부드럽고 달콤한 맛을 느낄 수 있다. 쑥크레는 프랑스어 Sucré’의 단어와 푸른 약초 쑥’의 합성어로 달콤한 쑥이라는 의미가 있는 전통주이다.
R_063,연희민트은(는) 산뜻한 민트의 향이 올라와 청량감을 느낄 수 있는 민트 맛 막걸리다. 언희민트는 동동주의 레시피를 기본으로 민트를 첨가한 술이다. 민초파분들에게 많은 사랑을 받을 거라 예상된다.
R_064,연희매화은(는) 봄꽃이 흐드러지게 핀 연희동의 모습을 생각하며 만든 탁주입니다. 봄의 생동감과 싱그러움을 담은 만큼 신맛이 강한 체리 향이 나는 것이 특징이다. 벨기에 술인 람빅’(Lambic)을 콘셉트로 만들어져 전통주에 이국적인 느낌 또한 담겨있다.
R_065,"생 옥수수 동동주은(는) 쌀을 찌지 않고 생쌀을 갈아 담금하는 방식인 100% 생쌀 발효제법으로 빚었다. 우리쌀과 옥수수로 빚어 풍미와 향이 풍부하다. 또한, 담금할 때 옥수수를 구수하게 볶은 후 넣음으로써 옥수수의 향이 잘 느껴지며 맛과 목 넘김이 부드럽다."
R_066,"연희장미은(는) 새콤달콤한 맛으로 입이 즐겁고, 분홍빛 아름다운 비주얼로 눈이 즐겁고, 향긋한 장미향으로 코까지 즐거운 1석 3조의 연희장미입니다. 연희장미에 장미 꽃잎을 띄워 마시면 더욱 진한 장미향을 느낄 수 있습니다. 핑크빛 막걸리에 꽃잎을 동동 띄워 마시니 인증샷을 저절로 찍고 싶게 만들어요. 장미의 향기가 톡톡 튀고 적절한 산미가 조화로운 이 탁주는 기름진 중식과의 조화가 좋습니다. 중식과 막걸리의 HIP한 조화가 색다른 맛의 세계로 초대합니다!"
R_067,"낙천 옥수수 생동동주은(는) 막걸리의 맛과 영양학적 우수성을 높이고자 지장수를 활용하여 술을 제조한다. 또한, 주조에 들어가는 쌀을 모두 국내산으로 활용하여 국내산 쌀의 소비 진작에 도움이 되고자 노력하고 있다. 낙천 지장수 옥수수 생동동주는 지장수를 활용하여 깔끔하고, 옥수수의 구수하고 개운한 맛을 살렸다."
R_068,"강냉이 막걸리은(는)  충북 제천에서 100년의 시간 동안 술을 빚는 용두산 조은술 양조장의 술로 긴 시간동안 쌓아온 노하우를 막걸리, 약주 등 전 주종 제품에 적용하여 생산하며 한국 전통주를 알리는데 앞장서고 있다. 강냉이 막걸리는 쌀과 옥수수분말로 만든, 구수한 맛이 느껴지는 전형적인 시골막걸리입니다. 원료의 풍미가 살아있고, 깔끔한 맛이 일품이다."
R_069,"호호막걸리은(는) 드시는 모든 분들이 항상 하하호호’ 행복하기를 바라는 마음을 담은 호호는 4대째 술을 빚고 있는 중원당’의 단호박 막걸리이다. 밑술은 구멍떡, 덧술은 찹쌀 고두밥과 단호박으로 빚으며 저온에서 약100일 정도 발효 숙성한다."
R_070,"탁112클래식은(는) 인천 지역을 기반으로 강화도 쌀과 물로 빚은 단양주이다. 감미료가 들어가지않아 쌀 본연의 단맛을 살리고, 막걸리 특유의 산뜻함을 가득 담았다. 잔이 탁’하고 부딪히는 소리의 경쾌함을 표현한 네이밍으로 12도의 탁112 클래식과 6도의 탁 132 오리지널 두 종류로 구성되어 있다."
R_071,"옹근달 본막걸리은(는) 강화섬 쌀 100%, 물, 누룩만을 사용하여 밑술과 덧술을 다섯번 반복하는 오양주 기법으로 정성스럽게 빚었다. 크림을 가득 머금은 듯한 질감과 곡물이 주는 담백함, 그리고 은은한 과실향까지 느낄 수 있다."
R_072,"열대야은(는) 서울 문래동의 작은 양조장 날씨양조장’에서 다양한 날씨에 맞는 막걸리를 생산한다. 쌀을 기본으로 하면서 부재료인 제철 과일 맛과 향이 돋보이는, 계절마다 즐기기에 좋은 술을 빚는다. 열대야는 상큼한 레몬 과실과 뒤에서 느껴지는 망고 향이 매력적인 막걸리다."
R_073,마크홀리 오리지널 6.0은(는) 누룩을 쓰지 않고 만든 것이 특징으로 낮은 단백질 함량 뿐만 아니라 은은한 쌀 향을 가지고 있다. 막걸리 특유의 탁한 맛을 줄이고 맥주 효모와 쌀만으로 만들어져 이것은 막걸리인가? 맥주인가? 싶을 정도로 가볍고 깔끔한 바디감을 가진 것이 특징이다.
R_074,"연희유자은(는) 알코올 도수가 높고 강한 쓴맛과 아로마 향이 특징인 IPA 맥주를 재해석했다. 연희유자는 찹쌀과 멥쌀로 두 번 빚는 호산춘 제조법을 바탕으로 해, 달지 않고 드라이한 맛에 유자가 시트러스한 향을 더해주는 것이 특징이다."
R_075,"아홉쌀은(는) 알코올 9%,  일곱쌀보다는 바디감이 더 생기고 살짝 달콤한 맛이 둥글게 지나간다. 크리미하면서도 경쾌한 질감이 느껴지며 쌀 본연의 향이 더 느껴진다."
R_076,"바텐더의막걸리은(는) 칵테일을 만들기에 좋은 막걸리다. 막걸리의 특징은 잃지 않는 동시에, 다른 재료들의 특징까지 포용할 수 있는 술이다. 흔히 막걸리는 원주에 물을 타서 만든 술이지만, 보통의 막걸리와는 달리 바텐더의 막걸리는 물을 타지 않은 원액에 가까운 술이라 도수가 높고, 쌀을 발효하며 얻게 되는 풍미를 진하게 갖고 있다."
R_077,"눈내린여름밤은(는) 전통방식 그대로 첨가물없이 쌀, 누룩, 물 3가지 재료만 사용하는 눈내린여름밤 막걸리는 찹쌀 로스팅 과정을 통해 곡물의 구수함, 견과류의 고소함, 달콤한 커피향에 이르는 다채로운 맛을 담았다. 막걸리는 하얗다는 고정관념을 깬 막걸리로, 코코아 빛깔이 특징이다."
R_078,"담진주은(는) 백하주 제법을 바탕으로 탄생했다. 멥쌀과 찹쌀을 사용하여 삼양주로 빚고, 5주간의 발효 기간과 4주간의 숙성 기간을 거쳐 톡 쏘는 산미가 담겼고, 드라이한 맛을 지녔으나 씹을수록 깊은 맛이 느껴지는 탁주다."
R_079,"김유정역은(는) 예술’은 전통누룩을 사용해서 빚은 전통주를 만드는 양조장이다. 이번에 예술에서 새롭게 출시한 김유정역은 김유정 소설에서 나온 들병이’의 이야기를 담고자 한 탁주이다. 들병이는 일제강점기에 술과 돗자리, 상을 들고 다니면서 술 마실 사람이 있으면 그 자리에서 돗자리와 상을 펴고 술을 따라주는 직업을 말한다."
R_080,"골목막걸리 프리미엄 12은(는) SBS 백종원의 골목식당을 인연으로 외식전문가 백종원 대표와 양조연구가 박유덕 사장이 콜라보레이션하여 만들어낸 프리미엄 막걸리이다. 품질 좋은 예산 쌀로 만들었으며, 인공감미료를 첨가하지 않아 쌀 본연의 단맛을 잘 느낄 수 있다."
R_081,"가와지탁주은(는) 묵직한 텍스쳐 속 바나나, 배, 포도껍질, 멜론 등 산뜻한 과일 향까지 느낄수 있다. 특히나 삼양주의 특징을 극대화한 새콤한 사과맛과 바닐라향의 아름다운 조화가 특징이다."
R_082,"메들리손막걸리은(는) 쌀과 누룩으로 발효하여 꾸밈없이 수수한 맛을 냈다. 상큼한 향을 따라 고슬한 밥의 향이 은은하게 피어오르며, 진피가 느껴지는 새금하고 쌉쌀한 신맛에 달큼한 쌀의 감칠맛이 균형을 이루다 포도향을 남기며 마무리된다."
R_083,"자작막걸리은(는) 누룩으로 빚은 삼양주 원주에 자작나무 수액을 넣어서 2달 숙성시켜 빚어진 탁주다. 자작나무 수액이 더해져 담백하면서도 깊은 맛의 자작막걸리, 은은한 단맛과 산미의 조화가 특징이다. 숲을 입안에 머금은 듯 스쳐 지나가는 은은한 오크향기가 입안을 향긋하게 한다."
R_084,백구막걸리은(는) 눈처럼 하얀 빛깔과 독특한 향기를 가진 누룩 설향곡으로 빚어진 막걸리다. 수익 중 1.9%를 유기견 보호에 후원하고 있다고 하고 있다.
R_085,한영석 하향주은(는) 동의보감에 하향주는 맛이 달고 열을 제거하고 피로와 갈증을 치유한다’고 기록되어 있다. 청량하면서도 깔끔한 맛이 고기의 고소한 맛을 더욱 강하게 느끼게 한다.
R_086,맑은내일 스파클링막걸리 Signature은(는) 전체적으로 산뜻한 과일이 떠오르는 풍부한 향과 청량한 느낌의 풍미가 좋다. 맑고 청량한 탄산감이 입안을 상쾌하게 해주며 쌀에서 오는 자연스러운 단맛과 함께 적당한 산미가 느껴진다. 고소함꽈 쌉쌀함이 여운에 남는다.
R_087,"맑은내일 발효막걸리 Signature은(는) 프리미엄 막걸리 맑은내일 발효막걸리 Signature 는 한국 전통 누룩으로 빚어 걸쭉하면서 진하고 누룩 함량이 높아 부드럽고 깊은 향이 일품이다. 묵직한 누룩맛과 부드러운 텍스처, 유산균이 빚어내는 오묘한 산미와 단맛의 조화가 특징이다.  제품이 완성된 후에도 효모는 발효되기 때문에 시간의 경과에 따라 다른 맛과 느낌으로 즐길 수 있다."
R_088,별산오디 스파클링 막걸리은(는) 우수한 품질의 양주쌀과 국내산 오디 100%로 만든 막걸리로 짜릿한 천연탄산의 청량감과 상큼한 오디 맛의 조화가 어우러지는 술이다.
R_089,딸링 막걸리은(는) 다도참주가에서는 개량된 입국의 단조로움을 보완하고 전통누룩의 풍부함을 이끌어내기 위해  손수 입국을 직접 만들어 사용한다. 딸링은 딸기를 듬뿍 넣어 딸기향이 가득한 산뜻한 프리미엄 막걸리로 너무 차갑지 않은 온도로 마시면 더욱 조화롭고 향기로운 맛을 느낄 수 있다.
R_090,주홍춘은(는) 흑미찹쌀로 빚은 달달하고 향긋한 탁주이다.
R_091,정감생막걸리은(는) 깊은 산골 청정수와 신토불이 하동산 쌀과 찹쌀 그리고 우리밀 누룩으로 장기 저온에서 발효숙성하여 장인의 정성이 빚어낸 한 잔에 오미를 담아 달빛같은 감성이 살아 숨쉬는 전통 곡주이다.
R_092,악양생막걸리은(는) 지리산 청정수와 국내산 햅쌀 그리고 우리밀 누룩으로 저온숙성하여 빚어낸 다양한 유익균이 살아 숨쉬는 전통주이자 경남 하동의 지역특산주이다.
R_093,"시향가 미니캔막걸리은(는) 언제 어디서나(여행, 캠핑, 차박, 골프,낚시 등) 가볍게 즐길 수 있는 200ml 캔 막걸리로, 발효를 위한 시간을 계획하여 일정량만 직접 생산하여 새로운 토란과 막걸리 조합의 맛과 향을 지닌 술이다."
